id,eg_source,eg_title,eg_link,json
135,reuters,The Original Avengers,https://graphics.reuters.com/USA-FILM-AVENGERS/010091KC2B2/index.html,"    {'id':135,'eg_title':The Original Avengers,'eg_source':reuters,'eg_link':https://graphics.reuters.com/USA-FILM-AVENGERS/010091KC2B2/index.html},"
136,reuters,Super League shakeup,https://graphics.reuters.com/SOCCER-EUROPE/BREAKAWAY-INTERNATIONALS/oakvewxqjvr/index.html,"    {'id':136,'eg_title':Super League shakeup,'eg_source':reuters,'eg_link':https://graphics.reuters.com/SOCCER-EUROPE/BREAKAWAY-INTERNATIONALS/oakvewxqjvr/index.html},"
137,reuters,51% of Americans approve of the president,https://graphics.reuters.com/USA-BIDEN/POLL/nmopagnqapa/index.html,"    {'id':137,'eg_title':51% of Americans approve of the president,'eg_source':reuters,'eg_link':https://graphics.reuters.com/USA-BIDEN/POLL/nmopagnqapa/index.html},"
138,reuters,Counting The Cost in Gaza,https://graphics.reuters.com/ISRAEL-PALESTINIANS/GAZA/azgpoozagpd/index.html,"    {'id':138,'eg_title':Counting The Cost in Gaza,'eg_source':reuters,'eg_link':https://graphics.reuters.com/ISRAEL-PALESTINIANS/GAZA/azgpoozagpd/index.html},"
139,reuters,Counting The Cost in Gaza,https://graphics.reuters.com/ISRAEL-PALESTINIANS/GAZA/azgpoozagpd/index.html,"    {'id':139,'eg_title':Counting The Cost in Gaza,'eg_source':reuters,'eg_link':https://graphics.reuters.com/ISRAEL-PALESTINIANS/GAZA/azgpoozagpd/index.html},"
140,reuters,The Forgotten Events,https://graphics.reuters.com/OLYMPICS-2020/HISTORY/oakpedqbgvr/index.html,"    {'id':140,'eg_title':The Forgotten Events,'eg_source':reuters,'eg_link':https://graphics.reuters.com/OLYMPICS-2020/HISTORY/oakpedqbgvr/index.html},"
141,reuters,Voting Highs,https://graphics.reuters.com/USA-ELECTIONS/oakvendenpr/,"    {'id':141,'eg_title':Voting Highs,'eg_source':reuters,'eg_link':https://graphics.reuters.com/USA-ELECTIONS/oakvendenpr/},"
142,reuters,"Reading The
Brexit Tea Leaves",https://graphics.reuters.com/BRITAIN-EU/010092G834N/index.html,"    {'id':142,'eg_title':Reading The
Brexit Tea Leaves,'eg_source':reuters,'eg_link':https://graphics.reuters.com/BRITAIN-EU/010092G834N/index.html},"
143,reuters,A Decade of Peace Shattered,https://graphics.reuters.com/SRI%20LANKA-BLASTS/010091JW299/index.html,"    {'id':143,'eg_title':A Decade of Peace Shattered,'eg_source':reuters,'eg_link':https://graphics.reuters.com/SRI%20LANKA-BLASTS/010091JW299/index.html},"
144,reuters,A Decade of Peace Shattered,https://graphics.reuters.com/SRI%20LANKA-BLASTS/010091JW299/index.html,"    {'id':144,'eg_title':A Decade of Peace Shattered,'eg_source':reuters,'eg_link':https://graphics.reuters.com/SRI%20LANKA-BLASTS/010091JW299/index.html},"
145,reuters,The Figures Behind the Faces,https://graphics.reuters.com/INDIA-ELECTION-CRIMINAL-CANDIDATES/0100925031T/index.html,"    {'id':145,'eg_title':The Figures Behind the Faces,'eg_source':reuters,'eg_link':https://graphics.reuters.com/INDIA-ELECTION-CRIMINAL-CANDIDATES/0100925031T/index.html},"
146,reuters,The Figures Behind the Faces,https://graphics.reuters.com/INDIA-ELECTION-CRIMINAL-CANDIDATES/0100925031T/index.html,"    {'id':146,'eg_title':The Figures Behind the Faces,'eg_source':reuters,'eg_link':https://graphics.reuters.com/INDIA-ELECTION-CRIMINAL-CANDIDATES/0100925031T/index.html},"
147,reuters,The Figures Behind the Faces,https://graphics.reuters.com/INDIA-ELECTION-CRIMINAL-CANDIDATES/0100925031T/index.html,"    {'id':147,'eg_title':The Figures Behind the Faces,'eg_source':reuters,'eg_link':https://graphics.reuters.com/INDIA-ELECTION-CRIMINAL-CANDIDATES/0100925031T/index.html},"
148,reuters,Comparing Outbreaks,https://graphics.reuters.com/CHINA-HEALTH-VIRUS-COMPARISON/0100B5BY3CY/index.html,"    {'id':148,'eg_title':Comparing Outbreaks,'eg_source':reuters,'eg_link':https://graphics.reuters.com/CHINA-HEALTH-VIRUS-COMPARISON/0100B5BY3CY/index.html},"
149,reuters,The Race Gap: How U.S. Systemic Racism Plays Out in Black Lives,https://graphics.reuters.com/GLOBAL-RACE/USA/nmopajawjva/index.html#student-loans,"    {'id':149,'eg_title':The Race Gap: How U.S. Systemic Racism Plays Out in Black Lives,'eg_source':reuters,'eg_link':https://graphics.reuters.com/GLOBAL-RACE/USA/nmopajawjva/index.html#student-loans},"
150,reuters,The Race Gap: How U.S. Systemic Racism Plays Out in Black Lives,https://graphics.reuters.com/GLOBAL-RACE/USA/nmopajawjva/index.html#the-justice-system,"    {'id':150,'eg_title':The Race Gap: How U.S. Systemic Racism Plays Out in Black Lives,'eg_source':reuters,'eg_link':https://graphics.reuters.com/GLOBAL-RACE/USA/nmopajawjva/index.html#the-justice-system},"
151,reuters,The Race Gap: How U.S. Systemic Racism Plays Out in Black Lives,https://graphics.reuters.com/GLOBAL-RACE/USA/nmopajawjva/index.html#homeownership,"    {'id':151,'eg_title':The Race Gap: How U.S. Systemic Racism Plays Out in Black Lives,'eg_source':reuters,'eg_link':https://graphics.reuters.com/GLOBAL-RACE/USA/nmopajawjva/index.html#homeownership},"
152,reuters,The Race Gap: How U.S. Systemic Racism Plays Out in Black Lives,https://graphics.reuters.com/GLOBAL-RACE/USA/nmopajawjva/index.html#life-expectancy,"    {'id':152,'eg_title':The Race Gap: How U.S. Systemic Racism Plays Out in Black Lives,'eg_source':reuters,'eg_link':https://graphics.reuters.com/GLOBAL-RACE/USA/nmopajawjva/index.html#life-expectancy},"
153,reuters,How Powerful was the Beirut Blast?,https://graphics.reuters.com/LEBANON-SECURITY/BLAST/yzdpxnmqbpx/index.html,"    {'id':153,'eg_title':How Powerful was the Beirut Blast?,'eg_source':reuters,'eg_link':https://graphics.reuters.com/LEBANON-SECURITY/BLAST/yzdpxnmqbpx/index.html},"
154,reuters,Collision Course,https://graphics.reuters.com/MAURITIUS-ENVIRONMENT/SPILL/xlbvglnqrpq/,"    {'id':154,'eg_title':Collision Course,'eg_source':reuters,'eg_link':https://graphics.reuters.com/MAURITIUS-ENVIRONMENT/SPILL/xlbvglnqrpq/},"
